organization number,orgnum of the chain,orgnum of rented property's owner
974553880,,
974553899,,
974553910,,
974553929,,
974553937,,
974553953,,
974554119,,
974554135,,
974554143,,
974554151,,
974554178,,
974554186,,
974554194,,
974554208,,
974554216,,
974554224,,
974554232,,
974554240,,
974554259,,
974554267,,
974554275,,
974554291,,
974554305,,
974554364,,
974555824,,
974555832,,
974555840,,
974555859,,
974558556,,
974559137,,
974559854,,
974559889,,
974559900,,
974559919,,
974559927,,
974559935,,
974560437,,
974560445,,
974560453,,
974560461,,
974561549,,
974562618,,
974563819,,
974563827,,
974563835,,
974563851,,
974565358,,
974565498,,
974565501,,
974565528,,
974565536,,
974565544,,
974565595,,
974565609,,
974565668,,
974565676,,
974565730,,
974566648,,
974566656,,
974566664,,
974566672,,
974566699,,
974566702,,
974566710,,
974566729,,
974566737,,
974566745,,
974566753,,
974568551,,
974569027,,
974569035,,
974569043,,
974569051,,
974569280,,
974569299,,
974569302,,
974570181,,
974570203,,
974570211,,
974570238,,
974570246,,
974570440,,
974570769,,
974572583,,
974572613,,
974572656,,
974572680,,
974575736,,
974576120,,
974576139,,
974576147,,
974576171,,
974577739,,
974577755,,
974578603,,
974578611,,
974578638,,
974578654,,
974578662,,
974578670,,
974578700,,
974578719,,
974578727,,
974578735,,
974578743,,
974579510,,
974579529,,
974579537,,
974579545,,
974579588,,
974579596,,
974579618,,
974579626,,
974579634,,
974579642,,
974579650,,
974579669,,
974579677,,
974579766,,
974579936,,
974581957,,
974581965,,
974582368,,
974582430,,
974582449,,
974582457,,
974582465,,
974583364,,
974583747,,
974583763,,
974583771,,
974584069,,
974584077,,
974584131,,
974584158,,
974584174,,
974584182,,
974584190,,
974584204,,
974584212,,
974584964,,
974584999,,
974585014,,
974585022,,
974585030,,
974585057,,
974585073,,
974585723,,
974585731,,
974585774,,
974585804,,
974585812,,
974585820,,
974585839,,
974585944,,
974585952,,
974586029,,
974586568,,
974586576,,
974586584,,
974586606,,
974591081,,
974591510,986721924,
974591529,,
974591537,,
974591561,,
974592088,,
974592096,,
974592118,,
974592126,,
974593424,,
974593432,,
974593440,,
974593459,,
974593467,,
974593661,,
974593742,,
974593750,,
974593777,,
974593874,,
974593890,,
974593912,,
974593947,,
974594862,,
974594870,,
974594889,,
974594897,,
974594900,,
974594919,,
974594935,,
974594943,,
974594951,,
974598329,,
974598647,,
974598922,,
974598981,,
974599007,,
974599015,,
974599023,,
974600838,,
974602199,,
974603098,,
974603101,,
974603179,,
974603470,,
974603489,,
974603497,,
974603500,,
974603632,,
974605546,,
974605589,,
974605597,,
974605775,,
974605880,,
974607581,,
974608278,,
974608669,,
974608677,,
974608723,,
974609568,,
974610728,,
974610981,,
974611007,,
974611015,,
974611023,,
974611031,,
974611058,,
974611104,,
974611155,,
974611201,,
974612178,,
974612186,,
974612208,,
974612216,,
974612224,,
974612240,,
974612259,,
974612275,,
974612283,,
974612291,,
974612305,,
974612321,,
974612348,,
974612356,,
974612364,,
974612372,,
974612380,,
974612399,,
974612402,,
974612429,,
974612437,,
974612445,,
974612550,,
974612666,,
974614235,,
974614243,,
974614251,,
974614499,,
974614723,,
974614758,,
974614790,,
974614812,,
974614820,,
974614839,,
974614847,,
974617528,,
974617684,,
974617811,,
974618176,,
974618184,,
974618192,,
974618427,,
974618680,,
974619709,,
974619830,,
974620634,,
974621843,,
974622351,,
974623544,,
974626640,,
974626659,,
974627000,,
974627019,,
974627078,,
974627086,,
974627116,,
974627159,,
974628031,,
974628058,,
974628066,,
974628074,,
974628082,,
974628090,,
974628104,,
974628112,,
974628120,,
974628139,,
974628147,,
974628163,,
974628171,,
974628198,,
974631350,993314862,999149383
974631393,878620852,
974631415,991926577,915165974
974631423,,
974631628,,
974631962,,
974632306,878620852,
974633213,,983975267
974633264,,
974633272,,
974633418,,
974633639,957109713,
974683989,980907457,919290315
974701480,991926577,
974702711,,
974702843,,976987403
974702886,878620852,
974703009,,976987543
974703351,,
974703386,,976987365
974703408,,971525606
974703416,,876987252
974706202,,
974706512,,983971636
974706954,,
974714728,,
974716798,971272643,
974722232,,984070659
974722313,,
974722674,,
974725142,,974761882
974725320,,
974726742,,
974735512,,
974737396,912450716,
974737450,,977154804
974737760,983974724,
974738813,,
974738821,,
974738848,,
974738856,,
974738864,,
974738872,,
974738880,,
974738899,,
974738902,,
974738937,,
974738945,,
974738961,,
974738988,,
974738996,,
974739003,,
974739038,,
974739046,,
974739054,,
974739062,,
974739070,,
974739089,,
974739097,,
974739100,,
974739119,,
974739127,,
974739135,,
974739143,,
974739178,,
974739186,,
974739216,,
974739224,,
974739232,,
974739240,,
974739267,,
974739291,,
974739305,,
974739313,,
974739348,,
974739356,,
974739364,,
974739372,,
974745550,,
974745577,,
974746964,878620852,925335894
974747553,,
974747995,,
974748002,,
974748010,,
974748762,,
974749017,,
974749750,,
974749777,,
974749823,,
974752425,,
974753375,,971384565
974753928,,915630715
974754126,971272643,
974795876,,
974795949,,
974796090,878620852,823620802
974796201,,
974796732,,973775332
974796740,,976987608
974796880,,
974797127,,974778882
974797585,971529652,971529652
974797615,878620852,976994000
974797682,,
974798417,,976992083
974798441,,
974798476,,
974798484,,
974798530,,
974798670,,
974798719,,
974798735,,
974798778,,976993403
974798999,,
974799472,,
974799553,,823620802
974799812,,976999800
974800152,,977001080
974819902,,950084545
974824299,,979751346
974825368,938498318,930891126
974826801,,971527846
974827700,,981548183
974831309,,
974832348,,912226980
974838028,,
974847795,878620852,925335894
974849100,878620852,883535472
974857561,,880395432
974875101,,
974891360,,
974891778,,
974892170,,
974896583,,
974990148,878620852,
974998394,975717771,975717771
975000346,948554062,
975006271,,959501629
975009262,886308922,
975011615,948554062,
975011623,948554062,
975011631,948554062,
975011658,948554062,
975012093,958673027,
975014223,948554062,
975016528,,
975016536,,
975016544,,
975016552,971272643,
975016560,,
975016579,971272643,974778882
975016587,971272643,974778882
975016595,971272643,974778882
975016617,,
975016633,971272643,971436158
975016668,971272643,953538407
975016676,,
975016684,,
975016730,965040986,921447264
975016749,971272643,
975016757,,
975016765,938641862,923309195
975016773,,
975016811,,
975016838,,
975026639,,
975026647,958673027,
975028496,,
975028798,,964965226
975028852,975717771,975717771
975028860,975717771,975717771
975028879,947506579,
975028925,,913350766
975028933,,921639481
975028941,958673027,
975029131,971375914,
975036456,,969773589
975036464,,
975036499,,
975036537,,
975043789,,
975043827,,
975044556,960033590,
975044580,948554062,
975044661,,
975044858,967405639,948007029
975044912,958673027,
975048144,,
975048179,956918863,
975048217,947506579,
975048284,,971348380
975065103,,
975068056,,
975068595,,
975070336,,
975070719,,
975094065,,
975122999,,
975144119,,
975178412,,948305720
975178706,,
975182606,,
975183106,960033590,
975183114,960033590,
975183149,886308922,988696013
975183297,,
975183408,,
975183440,,
975183556,886308922,
975183793,975717771,975717771
975183815,,
975183823,975717771,975717771
975183874,975717771,975717771
975183890,,
975183939,,870201702
975184137,,953662922
975184161,,
975185117,886308922,839307152
975185699,971493488,
975189228,,971491205
975191729,,
975198146,,
975198987,,
975199150,,
975199258,,
975203492,,
975203999,,
975204154,,
975211908,993314862,993467049
975212289,,
975212645,,974974819
975213277,,
975213617,,
975213625,,
975214036,,
975216381,,
975217604,,968349627
975218279,,
975264009,,
975265323,,
975266702,,984768737
975266729,,
975266761,,958408951
975266842,,984478402
975266974,993314862,917431299
975267911,,
975268012,,
975268020,,
975268039,,
975268047,,
975268063,,
975268071,,
975268101,,
975268128,,
975268160,,
975268217,,
975268225,,
975268241,,
975268292,,
975268306,,
975268322,,
975268330,,
975268365,,
975268373,,
975268403,,
975290514,,
975290859,,
975290867,,
975290875,,
975290883,,
975290905,,
975290956,,
975290964,,
975290972,,
975290980,,
975290999,,
975291235,,
975291243,,
975291251,,
975291278,,
975291294,,
975291308,,
975291332,,
975291340,,
975291359,,
975291367,,
975291375,,
975291383,,
975291391,,
975291405,,
975291413,,
975291421,,
975291456,,
975291472,,
975291499,,
975291502,,
975291510,,
975291537,,
975291545,,
975291553,,
975291561,,
975291596,,
975291618,,
975291626,,
975291642,,
975291650,,
975291669,,
975291677,,
975291693,,
975291707,,
975291715,,
975291723,,
975291731,,
975291758,,
975291766,986554270,826878002
975291804,,
975291820,,
975291847,,
975291855,,
975291871,,
975291898,,
975291901,,
975292746,,
975294552,,
975294560,,
975294579,,
975295192,,
975295206,,
975295214,,
975295230,,
975295249,,
975295257,,
975295281,,
975295303,,
975295311,,
975295338,,
975295346,,
975295354,,
975295362,,
975295389,,
975295397,,
975295427,,
975295435,,
975295494,,
975295516,,
975295532,,
975295559,991926577,989932454
975295575,,
975295605,,
975295613,,
975295664,,
975295680,,
975295699,,
975295710,,
975295737,,
975295753,,
975295761,,
975295796,,
975295966,,
975295974,,
975295982,,
975296016,,
975296032,,
975296040,,
975296075,878620852,925335894
975296083,,
975296091,,
975296105,,
975296121,,
975296156,,
975296172,,
975296199,,889867582
975296245,,
975296377,,
975296466,,
975296504,,
975296520,,
975296539,,
975296555,,
975296563,,
975296660,,
975296687,,
975296695,,
975296709,,
975296717,,
975296725,,
975296806,,
975296814,,
975296873,,
975296938,,
975296946,,
975296970,,
975297063,,
975297071,,
975297098,,
975297101,,
975297128,,
975297276,,
975297284,,
975297306,,
975297322,,
975297659,,
975297675,,
975297683,,
975297691,,
975297705,,
975297713,986554270,826878002
975297756,,
975297764,,
975297802,,
975297810,,
975297829,,
975297837,,
975297845,,
975297861,,
975297896,,
975297934,,
975297950,,
975297969,,
975297977,,
975297985,,
975297993,,
975298000,,
975298019,,
975298027,,
975298051,,
975298078,,
975298086,,
975298094,,
975298108,,
975298124,,
975298159,,
975298183,,
975298191,,
975298205,,
975298213,,
975298221,,
975298256,,
975298264,,
975298272,,
975298280,,
975298310,,
975298329,,
975298337,,
975298353,,
975298361,,
975298388,,
975298809,971272643,
975298833,,
975298868,,
975298876,,
975298892,,
975298914,,
975298957,,
975298981,,
975299058,,
975299228,,
975299260,,
975299287,,
975299511,,
975300064,,
975300242,,
975300269,,
975300315,,
975300358,,
975300366,,
975300374,,
975300501,,
975300749,,
975300765,,
975300773,,
975300838,,
975300846,,
975300862,,
975300889,,
975300897,,
975300927,,
975301060,,
975301095,,
975301109,,
975301141,,
975301176,,
975301214,,
975301222,,
975301230,,
975301273,,
975301281,,
975301451,,
975301516,,
975301524,,
975301583,,
975301605,,
975301621,,
975301656,,
975301702,,
975301710,,
975301729,,
975301745,,
975301753,,
975301788,,
975301818,,
975301826,,
975301842,,
975301850,,
975301869,,
975301877,,
975301885,,
975301893,,
975301907,,
975301915,,
975301923,,
975301990,,
975302008,,
975302024,,
975302083,989065971,
975302121,,
975302148,,
975302156,,
975302164,,
975302180,,
975302229,,
975302237,,
975302245,,
975302253,,
975302261,,
975302288,,
975302318,,
975302334,,
975302342,,
975302350,,
975302369,,
975302385,,
975302415,,
975302423,,
975302431,,
975302466,,
975302474,,
975302504,,
975302512,,
975302539,,
975302563,,
975302571,,
975302636,,
975302652,,
975302660,,
975302687,,
975302717,,
975302733,,
975302741,,
975302768,,
975302814,,
975302830,,
975302849,,
975302873,,
975302903,,
975302970,,
975303012,,
975303039,,
975303101,,
975303128,,
975303209,,
975303268,,
975303276,,
975303314,,
975303330,,
975303357,,
975303381,,
975303411,,
975303438,,
975303446,,
975303454,,
975303462,,
975303489,,
975303500,,
975303527,,
975303535,,
975303543,,
975303594,,
975303608,,
975303624,,
975303632,,
975303640,,
975303667,,
975303683,,
975303691,,
975303705,,
975303721,,
975303748,,
975303780,,
975303829,,
975303837,,
975303888,,
975303926,,
975303993,,
975304000,,
975304019,,
975305910,,
975305945,,
975305953,,
975306003,,
975306011,,
975306038,,
975306046,,
975306054,,
975306062,,
975306070,,
975306089,,
975306100,,
975306119,,
975306127,,
975306135,,
975306186,,
975306208,,
975306216,,
975306275,,
975306305,,
975306348,,
975306356,,
975306364,,
975306372,,
975306410,,
975306445,,
975306496,,
975306518,,
975306534,,
975306550,,
975306585,,
975306607,,
975306615,,
975306631,,
975306658,,
975306674,,
975306682,,
975306690,,
975306755,,
975306798,,
975306852,,
975306860,,
975306879,,
975306887,,
975306917,,
975306976,,
975307042,,
975307050,,
975307069,990060460,
975307085,,
975307123,,
975307131,,
975307158,,
975307166,,
975307174,,
975307220,,
975307239,,
975307247,,
975307255,,
975307301,,
975307328,,
975307352,,
975307360,,
975307417,,
975307425,,
975307468,,
975307522,,
975307530,,
975307557,,
975307565,,
975307581,,
975307727,,
975307743,,
975307751,,
975307786,,
975307794,,
975307808,,
975307816,,
975307840,,
975307867,,
975307875,,
975307883,,
975307921,,
975307948,,
975307956,,
975307964,,
975307972,,
975308057,,
975308065,,
975308073,,
975308162,,
975308219,,
975308227,,
975308278,,
975308286,,
975308332,,
975308359,,
975308367,,
975308383,,
975308448,,
975308456,,
975308464,,
975308472,,
975308480,,
975308510,,
975308553,,
975308618,,
975308626,,
975308715,,
975308766,,
975308812,,
975308855,,
975308898,,
975308901,,
975308928,,
975308936,,
975308979,,
975308995,,
975309002,,
975309010,,
975309045,,
975309061,938641862,990152748
975309088,,
975309134,,
975309142,,
975309177,,
975309185,,
975309193,,
975309207,,
975309215,,
975309223,,
975309231,,
975309258,,
975309266,,
975309274,,
975309282,,
975309304,,
975309339,,
975309371,,
975309401,,
975309436,,
975309495,,
975309509,,
975309606,,
975309649,,
975309657,,
975309673,,
975309703,,
975309711,,
975309762,,
975309789,,
975309797,,
975309800,,
975309819,,
975309843,,
975309878,,
975309886,,
975309908,,
975309916,,
975309924,,
975309932,,
975309959,,
975309967,,
975309975,,
975309991,,
975310000,,
975310078,,
975310094,,
975310116,,
975310140,,
975310159,,
975310175,,
975310191,,
975310213,,
975310248,,
975310272,,
975310280,,
975310299,,
975310302,,
975310353,,
975310361,,
975310450,,
975310523,,
975310531,,
975310558,,
975310582,,
975310590,,
975310604,,
975310612,,
975310620,,
975310639,,
975310647,,
975310655,,
975310671,,
975310728,,
975310760,,
975310779,,
975310787,,
975310795,,
975310809,,
975310817,,
975310825,,
975310868,,
975310884,,
975310892,,
975310906,,
975310914,,
975310922,,
975310930,,
975310949,,
975310981,,
975311007,,
975311015,,
975311023,,
975311031,,
975311058,,
975311074,,
975311090,,
975311112,,
975311147,,
975311163,,
975311171,,
975311198,,
975311244,,
975311252,,
975311287,,
975311341,,
975311384,,
975311392,,
975311422,,
975311430,,
975311449,,
975311473,,
975311546,,
975311554,,
975311562,,
975311570,,
975311589,,
975311597,,
975311619,,
975311627,,
975311651,,
975311678,,
975311686,,
975311694,,
975311708,,
975311716,,
975311740,,
975311759,,
975311775,,
975311783,,
975311791,,
975311848,,
975311856,,
975311872,,
975311899,,
975311910,,
975311945,,
975311988,,
975311996,,
975312003,,
975312038,,
975312119,,
975312127,,
975312151,,
975312178,,
975312186,,
975312208,,
975312216,,
975312224,,
975312240,,
975312267,,
975312283,,
975312305,,
975312313,,
975312356,,
975312380,,
975312402,,
975312488,,
975312569,,
975312577,,
975312631,,
975312658,,
975312666,,
975312682,,
975312690,,
975312720,,
975312739,,
975312763,,
975312798,,
975312801,,
975312895,,
975312909,,
975312917,,
975312968,,
975312976,,
975313026,,
975313042,,
975313050,,
975313077,,
975313085,,
975313093,,
975313107,,
975313255,,
975313263,,
975313271,,
975313298,,
975313301,,
975313387,,
975313395,,
975313425,,
975313433,,
975313476,,
975313549,,
975313565,,
975313638,,940755603
975313697,,
975313719,,
975313751,,
975313816,,
975313832,,
975313840,,
975313883,,
975313921,,
975313964,,
975313972,,
975314014,,
975314022,,
975314030,,
975314049,,
975314057,,
975314065,,
975314073,,
975314081,,
975314103,,
975314111,,
975314138,,
975314146,,
975314170,,
975314189,,
975314200,,
975314243,,
975314251,,
975314324,,
975314332,,
975314340,,
975314367,,
975314375,,
975314391,,
975314456,,976987306
975314529,,
975314537,,
975314588,,
975314626,,
975314634,,
975314650,,
975314669,,
975314677,,
975314707,,
975314715,,
975314723,,
975314731,,
975314766,,
975314790,,
975314812,,
975314820,,
975314898,971272643,
975314960,,971035854
975314995,,
975315037,,
975315045,,
975315053,,
975315096,983974724,
975315118,,
975315142,,
975315185,,
975315258,983974724,
975315347,,
975315355,,
975315363,,
975315371,,
975315398,,
975315428,,
975315436,,
975315444,,
975315460,,
975315487,,
975315495,,
975315509,,
975315517,,
975315525,,
975315533,,
975315541,,
975315584,,
975315592,,
975315630,,
975315657,,
975315703,,
975315738,,
975315762,,
975315770,,
975315789,,
975315797,,
975315800,,
975315827,,
975315843,,
975315878,,
975315886,,
975315894,,
975315908,,
975315916,,
975315932,,
975315967,,
975315975,971272643,993467049
975315991,971272643,993467049
975316009,,
975316017,,
975316025,,
975316033,,
975316041,,
975316068,,
975316084,,
975316149,,
975316203,,
975316211,,
975316238,,
975316246,878620852,925335894
975316262,,
975316270,,
975316289,,
975316297,,
975316300,,
975316319,,
975316327,,
975316343,,
975316424,,
975316432,,
975316440,,
975316459,,
975316467,,
975316475,,
975316483,,
975316505,,
975316521,,
975316548,,
975316556,971272643,
975316564,,
975316572,971272643,
975316629,,
975316645,,
975316653,,
975316661,,
975316688,,
975316718,,
975316726,,
975316742,,
975316750,,
975316785,,
975316793,,
975316823,,
975316947,971272643,974778882
975316971,,
975317005,971272643,993467049
975317021,971272643,993467049
975317099,938641862,914850843
975317102,,
975317110,,
975317129,,
975317137,,
975317145,,
975317161,,
975317218,,
975317323,,
975317366,,
975317382,,
975317390,,
975317528,,
975317536,,
975317544,,
975317587,,
975317595,,
975317641,,
975317668,,
975317684,,
975317730,,
975317803,,
975317811,,
975317854,,
975317889,,
975317900,,
975317943,,
975317978,,
975318036,,
975318044,,
975318052,,
975318176,,
975318222,,
975319717,,
975319970,,
975319989,971272643,
975320103,,
975320138,,
975320227,,
975320235,,
975320243,,
975320251,,
975320278,,
975320308,,
975320340,,
975320391,,
975320618,,
975320642,,
975320669,,
975320685,,
975320723,,
975320766,,
975320782,,
975320820,,
975320863,,
975320871,,
975320944,,
975321029,,
975321045,,
975321053,,
975321061,,
975321134,,
975321177,,
975321185,,
975321193,,
975321215,,
975321223,,
975321282,,
975321290,,
975321363,,
975321371,,
975321444,,
975321533,,
975321541,,
975321576,,
975321614,,
975321681,,
975321711,,
975321738,,
975321746,,
975321959,,
975321975,,
975321991,,
975322009,,
975322017,,
975322041,,
975322068,,
975322092,,
975322122,,
975322130,,
975322157,,
975322165,,
975322173,,
975322211,,
975322246,,
975322254,,
975322300,,
975322467,,
975322475,,
975322505,,
975322637,,
975322785,,
975322807,,
975322815,,
975322823,,
975322920,,
975323048,,
975323056,,
975323080,,
975323153,,
975323196,,
975323226,,
975323269,938641862,990224846
975323285,,
975323323,,
975323366,,
975323374,,
975323382,,
975323390,,
975323404,,
975323412,,
975323420,,
975323455,,
975323463,,
975323471,,
975323501,938641862,990224641
975323528,,
975323536,,
975323560,,
975323579,,
975323595,,
975323633,,
975323668,,
975323676,,
975323684,,
975323714,,
975323722,,
975323730,,
975323749,,
975323773,,
975323846,,
975323854,,
975323927,,
975323943,,
975323994,,
975324052,,
975324087,,
975324095,,
975324125,,
975324168,,
975324176,,
975324206,,
975324222,,
975324249,,
975324281,,
975324346,,
975324354,,
975324389,,
975324400,,
975324419,,
975324435,,
975324451,,
975324516,,
975324583,,
975324605,,
975324923,,
975324966,,
975325008,,
975325016,,
975325075,,
975325083,,
975325091,,
975325202,,
975325229,,
975325245,,
975325261,,
975325342,975717771,975717771
975325377,,
975325385,,
975325431,,
975325458,,
975325466,,
975325482,,
975325563,,
975325652,,
975325725,,
975325814,,
975325938,,
975325954,,
975337170,,
975345440,,
975351971,960319435,976662156
975394395,,
975782409,,
975815145,878620852,925335894
975815978,,
975816826,,
975820734,,971541865
975822117,,
975826368,984128681,
975830500,,
975840174,,
975840565,,
975849236,914458811,
975849589,,
975856011,960319435,960319435
975858456,,
975862682,967405639,948007029
975879097,,
975894312,,
975897346,913442075,
975898806,938641862,911715597
975909697,,
975914119,,
975919307,,995098180
975941183,,
975941205,,918328963
975943232,,
976006739,,998541042
976011716,,
976015894,,
976036468,,
976056957,,
976081064,,
976094034,,984640749
976097327,,
976128710,977545528,
976134176,,
976177843,878620852,925335894
976219414,988256455,
976285964,,
976295307,,989591932
976334604,,
976343859,,
976344529,878620852,925335894
976379780,,983974910
976466411,,
976482662,,
976551311,,983974910
976555465,,
976559479,,
976599136,,954745708
976599292,,
976603079,,
976610636,,970540008
976610695,,
976618580,,
976619943,878620852,925335894
976635892,,
976638867,,
976639804,,
976643836,,
976644042,878620852,925335894
976651472,878620852,925335894
976666097,,
976666860,,
976666879,,
976668006,,
976668138,819780722,
976668545,,
976671821,,
976672321,,
976673123,,
976673603,,
976673824,,
976674251,,
976674286,,
976674294,,
976674359,,
976675827,,
976675894,,
976677056,,
976677323,,
976677358,,
976678893,,
976687477,,
976687574,938641862,988792160
976692764,,
976706528,965040986,976815122
976706536,986554270,746175986
976719654,,969197936
976719883,938641862,994490737
976723201,,971198559
976725565,,
976729919,878620852,925335894
976736982,985134847,
976767675,878620852,925335894
976775694,,
976780086,,976989651
976781058,,914971071
976784251,,
976788362,986554270,996920917
976795024,,
976796519,,
976807634,,
976816307,,950528958
976823133,,
976824512,,
976825578,,
976825713,,
976826485,,
976826604,,
976827546,,
976827589,,
976827910,,
976828593,,
976831071,,
976831942,,
976832027,,
976832345,,
976832507,,
976832515,,
976833163,,
976833503,,
976844955,950437537,
976844963,950437537,
976873416,,
976887581,,
976891554,,
976939190,,985729220
976964594,,
976974328,,
976974395,,
976974638,,
976975669,,
976976096,,
976979397,,
976979591,,
977010047,,976993403
977057736,,
977066026,991926577,915165974
977106265,,816590582
977150965,,
977180058,,
977202140,993314862,911853329
977295092,,942524544
977341620,,
977370299,912170357,
977381088,,
977384443,,
977408725,,
977423813,,
977478944,,
977490685,986554270,991907513
977513553,,917891591
977513723,,
977521386,,
977539269,,
977556791,,
977561345,996820645,
978130763,,
978298052,,
978603335,,
978605672,,
978606156,,
978607098,,
978622542,,
978640362,,
978691927,878620852,
978697593,,
978710506,,
978727360,,932986930
979082088,,976087607
979121741,,881009102
979136250,,942203640
979150172,,
979150237,,
979150954,,971539615
979154399,,954760936
979164602,,978669506
979192576,878620852,
979198094,,
979204965,,
979230265,,
979289952,,
979293194,,
979312415,,
979312946,,
979313241,,
979313926,,
979314124,,
979322399,,
979332068,,
979332556,,
979336020,,
979352581,,
979353170,,
979353197,,
979368658,878620852,925335894
979372892,,983510256
979374852,,975582663
979380763,,
979428812,,
979437390,998514983,
979437404,998514983,
979437412,998514983,
979450133,,
979468105,983974724,
979525079,,
979525222,,
979525435,,
979579829,960033590,
979586701,976498860,820710592
979587910,,
979587937,,
979588402,,
979588534,,
979588917,,
979588925,,
979589468,,
979589476,,
979589484,,
979590423,,
979590598,,
979591780,,
979591942,,
979592388,,
979592485,986554270,999244564
979592647,,
979592655,,
979593198,,
979626061,,
979638094,,964982953
979669933,,
979671105,,971384557
979687303,,
979698631,,
979734247,,
979740530,,
979781695,,
979781857,,976985923
979787855,,
979835272,,
979863799,,
979867921,,
979868499,948554062,855521482
979890834,,975564231
979893957,986554270,996920917
979893965,986554270,996920917
979893973,986554270,996920917
979894007,986554270,996920917
979932014,,
979975899,,928299295
979986475,891492642,
979993757,,
979996519,,
979998627,,
980003698,,
980031667,,
980033872,,925528226
980050971,,
980068137,,
980079945,,
980095657,,
980095851,,
980098974,,971245891
980113272,989065971,980247465
980121933,,
980125629,971272643,993467049
980125637,971272643,993467049
980128830,,987421096
980157164,,
980176800,,
980182347,938641862,990152713
980209873,,
980241416,,
980287459,,970534644
980335771,938641862,999632289
980339610,,
980342204,,
980357686,971272643,916882807
980372278,,970534644
980425630,,
980429741,,
980430588,,
980439577,,
980447588,986554270,996922766
980454754,,
980462242,,
980470865,,
980472922,938641862,980401510
980480291,948554062,
980482189,971272643,
980483940,,
980498158,,
980503275,,
980507300,,
980525856,,
980529398,,
980543641,,
980564339,,
980665674,,
980687244,,
980760235,,
980760618,,
980761819,,
980771210,,985483094
980789985,,
980840034,,999999999
980846040,,
980891186,,
980901084,878620852,925335894
980902013,991926577,915165974
980902463,878620852,925335894
980915034,,
980918874,,
980925005,,985914311
980936848,,
980943488,,
980948064,,
980969398,,
981007816,991926577,894166762
981007875,991926577,894166762
981007980,991926577,894166762
981018710,,
981075412,878620852,925335894
981080386,,
981098641,,
981098692,,
981098749,,
981098846,,
981133234,,976998081
981146891,,
981169557,,984070659
981175379,980907457,989263129
981205502,,
981207963,,976071166
981212304,960055390,874789542
981212355,960033590,
981232232,,822158722
981294149,,
981305469,,
981331389,,
981428048,938641862,
981453360,878620852,
981472381,,
981479696,878620852,999228070
981501667,,
981525337,981493761,814003582
981530896,,
981532449,979737459,971247207
981535022,,
981543246,,
981552172,,997510755
981559517,,
981591046,,
981612817,,
981626257,,
981922298,,
981925017,878620852,
981974816,881949482,971582820
981978471,,
981988779,,
981995864,,
982073685,,975839362
982140315,,
982151848,,
982159318,,999999999
982162971,,
982206103,878620852,925335894
982217008,991926577,
982229952,,
982248752,,
982251672,,
982263859,878620852,
982266394,998514983,
982267595,,995464748
982271371,,
982273854,,
982291127,,
982309026,,
982318475,,
982336244,,
982337550,,
982366267,,
982366291,,
982367379,971583088,971583088
982367409,,971334541
982368154,,
982375037,,
982383927,,
982384923,,
982401348,,982374553
982406552,,958935420
982432677,878620852,925335894
982443636,,
982451361,,975581179
982454689,,918094547
982499348,,
982506069,,
982534135,,942110464
982536162,,
982565499,,
982605032,,
982667879,,
982675723,,
982701112,,
982736129,,
982748054,,
982752809,,
982764017,,
982775388,,
982806712,,
982834155,,
982890497,,
982913683,974533588,
982918987,878620852,
982926610,,976993543
982929504,,
982947146,,838080332
982954819,,964338531
982974453,993314862,911853329
982978815,,
982982596,,
982986850,,
983023673,,
983043712,,
983060986,948554062,855521482
983093167,,969085135
983108016,991926577,838587051
983130704,,
983164765,,821215552
983167578,878620852,925335894
983173764,,
983179738,,
983209432,,
983211933,878620852,925335894
983214770,,914037379
983235875,,
983267181,,
983344267,,
983353525,,
983380255,,
983414508,,928285359
983436536,,983384862
983443761,,
983443923,,
983450334,,
983451829,,
983470750,,
983472907,,
983477607,987985135,
983491251,,
983492673,,
983499546,,
983509347,878620852,925335894
983539718,,
983544800,,
983569439,,
983577180,989400797,994890883
983592066,,920125298
983604560,,
983606350,,
983616429,,
983638759,,
983639267,,
983639534,,
983648894,,
983650317,,
983650716,991926577,989932454
983696899,,979870027
983722474,,
983740251,,
983759823,,920840000
983762107,,
983782507,,
983793967,,
983817025,,
983830285,,
983835643,,
983835988,,
983844995,878629852,925335894
983878008,971272643,979805829
983878032,971272643,
983945120,,
983952488,,
983952852,,
983959466,,816860822
984000685,990060460,
984001207,,
984001320,,
984019025,,
984033915,,
984034229,986554270,999244564
984035179,,
984037562,993314862,933089118
984093446,,
984134274,,
984137362,,
984137753,878620852,925335894
984151527,,966891750
984167490,,
984167954,,
984168160,,
984168233,,
984168349,,
984169868,998514983,
984170610,998514983,
984172540,998514983,
984173067,998514983,
984173083,998514983,979302665
984173091,998514983,
984184743,,
984186150,,
984230419,,
984240317,,
984255012,938641862,
984255926,,
984273894,,
984280254,,
984318766,,
984335180,,
984347189,878620852,925335894
984373309,,
984375670,,
984403569,938641862,
984418353,,
984422490,,971268247
984453361,991926577,989932454
984468369,,
984470789,,
984508921,877862085,925335894
984540124,,
984543921,,
984563639,,
984569742,,
984597894,878620852,925296775
984600089,,
984600844,,
984609612,,
984614381,,
984619588,,864950582
984626738,986554270,999244564
984628455,,
984633734,,
984649630,,
984662491,,
984666837,993314862,999149383
984680937,,
984684134,,971322136
984694504,878620852,
984700369,,
984705972,,
984709269,,
984715536,,
984723628,,980473465
984729235,,984696159
984736525,,
984744722,989083147,
984769350,,
