organization number,orgnum of the chain,orgnum of rented property's owner
893193952,986554270,922698058
893248412,938641862,
893447172,,
893472622,971646861,
893581642,938641862,993574805
893589872,,966968192
893595112,938641862,993574074
893623442,,
893765832,,
893806482,,987909900
894236752,,
894307242,938641862,
894393122,,
894400862,938641862,994391119
894436662,993314862,921838719
894754672,,
894911662,,
894934182,878620852,
894939672,,
894941782,991926577,992864206
894950382,,
894966262,,
895123412,878620852,
895212792,,
895380652,,872418032
895592102,878620852,
895612162,998514983,
895639982,,
895837512,,984229291
896025392,,
896049542,,
896194372,986554270,996920917
896194402,986554270,996920917
896210882,989065971,983021468
896335332,,
896427792,,994068083
896450832,878620852,925335894
896646982,,999999999
896678272,976694430,
896741632,991926577,915165974
896788752,986554270,996920917
896934112,878620852,925335894
897062402,,
897177102,,939991034
897217872,,
897463962,991926577,
897621452,,
897740052,,925395404
897797062,971272643,
897894602,,
898020002,,
898588262,917891702,998559006
899164512,878620852,925335894
899303962,,
899650352,878620852,
911616734,938641862,999632289
911643006,,
911655861,921967233,
911696037,,
911717395,,976479300
911723891,,
911724782,,971491175
911737337,991926577,
911801981,,
911809311,878620852,
911842904,938641862,911827182
911944812,878620852,925335894
911944855,878620852,925335894
911955091,,
911987392,878620852,
911992930,,918281576
912013804,,
912014401,,
912022498,,
912030865,,
912050599,,
912071561,971646861,
912076865,991926577,
912132145,978605702,990199272
912168549,,
912267334,991926577,
912271854,,
912322211,,
912349926,,
912364445,,
912383407,,972416045
912531481,,
912589137,,
912657388,986554270,996920917
912664244,,
912664287,,
912807932,,
912827437,979737459,927123134
912845893,,991584617
913034678,,
913043898,,
913071093,,
913071131,,
913071247,,
913085582,988256455,
913108027,,
913119827,,
913205820,912450716,
913290461,,976203011
913339231,,833237802
913343174,,
913387031,,
913420438,912170357,
913473000,,
913497554,974533588,
913626826,938641862,998708931
913721047,,923782990
913724070,,
913820223,,913904583
913825721,,
913833864,986554270,999244564
913837355,,
913874188,,
913878299,,
913899954,878620852,925335894
913901533,,918111034
913987829,879439582,879439582
913988833,,
914010926,,
914045533,998514983,
914082080,,971371064
914094755,938641862,
914129427,938641862,991831258
914301521,,
914323061,878620852,925335894
914328500,879439562,879439582
914328780,879439582,879439562
914419417,993314862,911940906
914479770,,
914622336,879439582,879439582
914698839,938641862,992337141
914735025,913307062,
914746620,975717771,975717771
914753732,,815727312
914766044,,
914799732,991926577,
914851076,,
914885957,,
914979269,,985804753
914985560,,920038344
914987679,,
915126960,,
915127207,,
915127479,,
915150187,998514983,
915233805,,985720983
915235794,,
915323642,938641862,
915341608,,
915345875,986554270,
915367240,921967233,940877148
915370047,992208430,917891591
915376770,,
915482481,,
915499929,878620852,
915500072,878620852,
915506941,,
915508480,,
915519024,946272620,
915616518,993314862,993345415
915639607,991926577,
915650422,,
915671233,,
915691757,991926577,
915693776,,
915751946,,
915766404,,
915777856,,
915787185,,
915830110,,
