organisasjonsnummer,status,navn,hjemmeside,registreringsdatoEnhetsregisteret,registrertIMvaregisteret,frivilligMvaRegistrertBeskrivelser,antallAnsatte,harRegistrertAntallAnsatte,stiftelsesdato,registrertIForetaksregisteret,registrertIStiftelsesregisteret,registrertIFrivillighetsregisteret,sisteInnsendteAarsregnskap,konkurs,underAvvikling,underTvangsavviklingEllerTvangsopplosning,maalform,vedtektsdato,vedtektsfestetFormaal,aktivitet,organisasjonsform_kode,organisasjonsform_beskrivelse,organisasjonsform__links_self_href,postadresse_land,postadresse_landkode,postadresse_postnummer,postadresse_poststed,postadresse_adresse,postadresse_kommune,postadresse_kommunenummer,naeringskode1_kode,naeringskode1_beskrivelse,hjelpeenhetskode_kode,hjelpeenhetskode_beskrivelse,forretningsadresse_land,forretningsadresse_landkode,forretningsadresse_postnummer,forretningsadresse_poststed,forretningsadresse_adresse,forretningsadresse_kommune,forretningsadresse_kommunenummer,institusjonellSektorkode_kode,institusjonellSektorkode_beskrivelse,_links_self_href,naeringskode2_kode,naeringskode2_beskrivelse,naeringskode3_kode,naeringskode3_beskrivelse,slettedato,konkursdato,overordnetEnhet,_links_overordnetEnhet_href,underAvviklingDato
977391156,,STIFTELSEN SANDEFJORD MENIGHETS DIAKONALE TJENESTE,,1997-04-15,False,,,False,1997-02-05,False,True,False,2022,False,False,False,Bokmål,,,"['Drive, vedlikeholde og utvikle Store Bergan Kirkesenter som egnede', 'lokaler for Sandefjord menighet. Samt drive, vedlikeholde og utvikle', 'Kulturbarnehagen Noahs Ark lokaler til beste for barnehagens beste.']",STI,Stiftelse,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/STI,,,,,,,,94.992,Fond/legater som støtter veldedige og allmennyttige formål,,,Norge,NO,3210,SANDEFJORD,"['c/o Sandefjord kirkekontor', 'Bjerggata 56']",SANDEFJORD,3907,7000,Ideelle organisasjoner,https://data.brreg.no/enhetsregisteret/api/enheter/977391156,88.911,Barnehager,,,,,,,
918794034,,FÆRDER KIRKELIGE FELLESRÅD,,2017-09-30,True,,55.0,True,,False,False,False,,False,False,False,Bokmål,,,['Kirkelig fellesråd.'],KIRK,Den norske kirke,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/KIRK,Norge,NO,3163,NØTTERØY,['Postboks 133  Borgheim'],FÆRDER,3911,94.910,Religiøse organisasjoner,,,Norge,NO,3140,NØTTERØY,['Rektorveien 2 A'],FÆRDER,3911,6500,Kommuneforvaltningen,https://data.brreg.no/enhetsregisteret/api/enheter/918794034,,,,,,,,,
956971322,,NORSVIN SA,www.norsvin.no,1995-02-19,True,,103.0,True,1958-03-06,True,False,False,2022,False,False,False,Bokmål,2010-03-23,"['Å sikre økonomien for norske svinekjøttprodusenter og bidra til at', 'medlemmene produserer svinekjøtt av rett kvalitet. Norsvin skal lede', 'og koordinere tiltak innen avlsarbeidet og den produksjonstekniske', 'sektor og for øvrig ivareta medlemmenes interesser.']","['Avl på svin.', 'Rådgiving og annen service overfor medlemmer.', 'Sædproduksjon for levering til medlemmer.']",SA,Samvirkeforetak,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/SA,,,,,,,,94.110,Næringslivs- og arbeidsgiverorganisasjoner,,,Norge,NO,2317,HAMAR,['Storhamargata 44'],HAMAR,3403,2500,Private produsentorienterte organisasjoner uten profittformål,https://data.brreg.no/enhetsregisteret/api/enheter/956971322,01.460,Svinehold,01.620,Tjenester tilknyttet husdyrhold,,,,,
919966343,,HEIDERØDVEIEN 3 AS,,,,,,,,,,,,,,,,,,,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,,,,,,,,,,,,,,,,,,,,,https://data.brreg.no/enhetsregisteret/api/enheter/919966343,,,,,2022-12-08,,,,
994765388,,HALDEN SPEIDERGRUPPE AV NORGES SPEIDERFORBUND,www.haldenspeidergruppe.org,2009-11-30,False,,,False,1909-12-31,False,False,True,,False,False,False,Bokmål,,,['Speidervirksomhet.'],FLI,Forening/lag/innretning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/FLI,,,,,,,,94.991,Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted,,,Norge,NO,1781,HALDEN,['Blomsterveien 6'],HALDEN,3101,7000,Ideelle organisasjoner,https://data.brreg.no/enhetsregisteret/api/enheter/994765388,,,,,,,,,
994328239,,NORDIQUS DALEN 26 AS,,2009-07-18,True,['Utleier av bygg eller anlegg'],,False,2009-06-22,True,False,False,2022,False,False,False,Bokmål,2024-02-16,"['Eie, drift og utleie av fast eiendom.']","['Eie, drift og utleie av fast eiendom.']",AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Norge,NO,5416,STORD,['Dalen 26'],STORD,4614,68.209,Utleie av egen eller leid fast eiendom ellers,,,Norge,NO,0160,OSLO,"['c/o SBB Samfunnsbygg AS', 'Tordenskiolds gate 10']",OSLO,0301,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/994328239,,,,,,,,,
995158884,,AHA EIENDOM AS,,2010-02-11,True,['Utleier av bygg eller anlegg'],24.0,True,2010-02-03,True,False,False,2022,False,False,False,Bokmål,2022-03-09,"['Kjøp, modernisering, salg og utleie av fast eiendom, drift innen', 'hotellvirksomhet, samt samtidig å drive med annen virksomhet som', 'naturlig står i forbindelse med dette herunder ved aksjetegning eller', 'på annen måte delta i andre selskaper.']","['Kjøp, salg og utleie av fast eiendom og virksomhet som naturlig hører', 'til.']",AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Norge,NO,7441,TRONDHEIM,['Postboks 3000 Lade'],TRONDHEIM,5001,68.209,Utleie av egen eller leid fast eiendom ellers,,,Norge,NO,7010,TRONDHEIM,['Fjordgata 34'],TRONDHEIM,5001,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/995158884,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,,,,
985160570,,SØR-TRØNDELAG LANDBRUKSSELSKAP,,2003-02-12,False,,,False,2002-04-26,False,True,False,2022,False,False,False,Bokmål,,,"['Å virke til fremme av landbruket i Sør-Trøndelag og virksomhet', 'tilknyttet dette. Stiftelsen legger vekt på identitetsskapende', 'virksomhet og arbeid med barn og unge.']",STI,Stiftelse,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/STI,Norge,NO,7468,TRONDHEIM,['Statens Hus'],TRONDHEIM,5001,94.991,Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted,,,Norge,NO,7012,TRONDHEIM,['E.C. Dahls gate 10'],TRONDHEIM,5001,7000,Ideelle organisasjoner,https://data.brreg.no/enhetsregisteret/api/enheter/985160570,,,,,,,,,
989544810,,NORDIQUS FALKEVEIEN 25 AS,,2006-03-22,True,['Utleier av bygg eller anlegg'],,False,2006-02-17,True,False,False,2022,False,False,False,Bokmål,2024-02-16,"['Eie, drift og utleie av fast eiendom.']","['Eie, drift og utleie av fast eiendom.']",AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,,,,,,,,68.209,Utleie av egen eller leid fast eiendom ellers,,,Norge,NO,0160,OSLO,"['c/o SBB Samfunnsbygg AS', 'Tordenskioldsgate 8-10']",OSLO,0301,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/989544810,,,,,,,,,
971221712,,BRISKEBYEN EIENDOM AS,,1995-02-20,True,,7.0,True,1994-11-17,True,False,False,2022,False,False,False,Bokmål,2017-11-16,"['Selskapet eier, forvalter og leier ut fast eiendom, og andre', 'produkter/tjenester som naturlig hører sammen med dette, herunder å', 'delta i andre selskap med lignende virksomhet, kjøp og salg av aksjer', 'eller på annen måte gjøre seg interessert i andre foretak.']",['Eiendomsforvaltning'],AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,,,,,,,,68.320,Eiendomsforvaltning,,,Norge,NO,2321,HAMAR,['St. Olavs gate 103'],HAMAR,3403,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/971221712,,,,,,,,,
994490710,,NORDIQUS LAMBHUSVEGEN 11 AS,,2009-09-05,True,['Utleier av bygg eller anlegg'],,False,2009-08-27,True,False,False,2022,False,False,False,Bokmål,2024-02-16,"['Eie, drift og utleie av fast eiendom.']","['Eie, drift og utleie av fast eiendom.']",AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Norge,NO,5501,HAUGESUND,['Postboks 420'],HAUGESUND,1106,68.209,Utleie av egen eller leid fast eiendom ellers,,,Norge,NO,0160,OSLO,"['c/o SBB Samfunnsbygg AS', 'Tordenskiolds gate 10']",OSLO,0301,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/994490710,,,,,,,,,
987508981,,NORDIC NOZZLE INGRID THO,www.webitho.com,2004-11-20,True,,,False,,True,False,False,,False,False,False,Bokmål,,,"['Skogsdrift. Engroshandel med jernvarer, rørleggerartikler og', 'oppvarmingsutstyr. Design, drift og vedlikehold av internettsider,', 'samt annen virksomhet som naturlig hører sammen med dette. Konsulent', 'innen IT. Utleie av hytter for selvhushold.']",ENK,Enkeltpersonforetak,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/ENK,,,,,,,,02.200,Avvirkning,,,Norge,NO,2670,OTTA,['Veggumsvegen 178'],SEL,3437,8200,Personlig næringsdrivende,https://data.brreg.no/enhetsregisteret/api/enheter/987508981,,,,,,,,,
994536478,,NORDIQUS STORGATA 10 AS,,2009-09-17,True,['Utleier av bygg eller anlegg'],,False,2009-09-09,True,False,False,2022,False,False,False,Bokmål,2024-02-16,"['Eie, drift og utleie av fast eiendom.']","['Eie, drift og utleie av fast eiendom.']",AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,,,,,,,,68.209,Utleie av egen eller leid fast eiendom ellers,,,Norge,NO,0160,OSLO,"['c/o SBB Samfunnsbygg AS', 'Tordenskiolds gate 8-10']",OSLO,0301,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/994536478,,,,,,,,,
989308084,,NORDIQUS EFTELANDSVEIEN 17 AS,,2006-02-02,True,['Utleier av bygg eller anlegg'],,False,2006-01-03,True,False,False,2022,False,False,False,Bokmål,2024-02-16,"['Eie, drift og utleie av fast eiendom.']","['Eie, drift og utleie av fast eiendom']",AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Norge,NO,5501,HAUGESUND,['Postboks 420'],HAUGESUND,1106,68.209,Utleie av egen eller leid fast eiendom ellers,,,Norge,NO,0160,OSLO,"['c/o SBB Samfunnsbygg AS', 'Tordenskiolds gate 10']",OSLO,0301,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/989308084,,,,,,,,,
918995528,,FOLDFJORDEN GRENDAHUSLAG,,2017-05-15,False,,,False,2017-04-19,False,False,True,,False,False,False,Bokmål,,,"['Foreningen driver og administrerer grendahuset Bergtun i Straumsvik', 'krets i Foldfjorden i Aure kommune. Foreningen engasjerer seg også i', 'andre positive tiltak og forhold som angår dagliglivet til innbyggerne', 'i Foldfjorden.']",FLI,Forening/lag/innretning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/FLI,,,,,,,,94.991,Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted,,,Norge,NO,6694,FOLDFJORDEN,['Sjyskardet 15'],AURE,1576,7000,Ideelle organisasjoner,https://data.brreg.no/enhetsregisteret/api/enheter/918995528,,,,,,,,,
