organization number,name,organization form code,organization form description,industry code 1,industry code 1 description,industry code 2,industry code 2 description,industry code 3,industry code 3 description,auxiliary unit code,auxiliary unit code description,has registered number of employees,number of employees,website,postal address,postal town,postal code,postal municipality,postal municipality number,postal country,postal country code,business address,business post town,business postal code,business municipality,business municipality number,business country,business country code,institutional sector code,institutional sector code description,last submitted annual accounts,registration date in unit register,foundation date,registered in VAT register,voluntary VAT registered descriptions,registered in volunteer register,registration date of the Unit Register,registered in foundation register,bankrupt,bankruptcy date,under liquidation,under liquidation date,under compulsory liquidation or dissolution,compulsory dissolution due to lack of general manager date,compulsory dissolution due to lack of auditor date,compulsory dissolution due to lack of accounts date,compulsory dissolution due to insufficient board date,compulsory liquidation due to lack of deletion date,parent unit,language form,articles of association date,statutory purpose,activity,location address,location post town,location postal code,location municipality,location municipality number,location country,location country code,registreringsdatoIEnhetsregisteret,start date,ownership change date,closure date,organization form description (EN)
815366832,LÆRINGSVERKSTEDET FORNEBU IDRETTSBARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,45,www.laringsverkstdet.no,Postboks 215,JESSHEIM,2051,ULLENSAKER,3209,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930869368,,,,,Bjørnenga 1,FORNEBU,1364,BÆRUM,3201,Norge,NO,2015-05-11,2015-05-01,2023-02-23,,Subunit of businesses and public administration
815471202,BJERKNESPARKEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,25,www.bergen.kommune.no/omkommunen/avdelinger/bjerknesparken-barnehage,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,974773899,,,,,Vilhelm Bjerknes' vei 54,BERGEN,5081,BERGEN,4601,Norge,NO,2015-06-02,2015-06-02,2022-01-01,,Subunit of businesses and public administration
815516192,INNBYGDA BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,false,,www.selbu.kommune.no/tjenester/oppvekst-og-familie/barnehage/barnehager-i-selbu/innbygda-bar,Gjelbakken 15,SELBU,7580,SELBU,5032,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,974767457,,,,,Almåvegen 62,SELBU,7580,SELBU,5032,Norge,NO,2015-06-17,2015-08-17,,,Subunit of businesses and public administration
815672542,LYNGHAUGEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,44,,Postboks 203,LEKNES,8376,VESTVÅGØY,1860,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,974790610,,,,,Torvhaugan 50,LEKNES,8370,VESTVÅGØY,1860,Norge,NO,2015-07-16,2015-07-01,,,Subunit of businesses and public administration
815982762,NORDTVET GÅRD BARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,32,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,915680771,,,,,Gårdsveien 7,OSLO,0952,OSLO,0301,Norge,NO,2015-09-26,2015-08-01,,,Subunit of businesses and public administration
816032172,ESPIRA GARTNERLØKKA BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,39,gartnerlokka.espira.no/,Postboks 353,KOPERVIK,4291,KARMØY,1149,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930550787,,,,,Hus 4C/nLørenvangen 24,OSLO,0585,OSLO,0301,Norge,NO,2015-10-06,2015-10-02,2023-03-01,,Subunit of businesses and public administration
816281172,SMÅ BARNEHAGER SENTRUM AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,16,sma.barnehage.no,Postboks 1723,HAUGESUND,5505,HAUGESUND,1106,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,916252439,,,,,Breidablikgata 63,HAUGESUND,5528,HAUGESUND,1106,Norge,NO,2015-11-23,2015-11-17,,,Subunit of businesses and public administration
817088252,ABILDSØ MENIGHETSBARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,15,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930594334,,,,,Langerudhaugen 1,OSLO,1187,OSLO,0301,Norge,NO,2016-04-25,2016-04-25,2023-01-01,,Subunit of businesses and public administration
817880932,TAUBANEN BARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,6,www.taubanenbarnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,917804141,,,,,Taubanen 10A,GRUA,2742,LUNNER,3234,Norge,NO,2016-10-15,2016-09-29,,,Subunit of businesses and public administration
818072872,LÆRINGSVERKSTEDET LANGBØLGEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,27,laringsverkstedet.no,Postboks 215,JESSHEIM,2051,ULLENSAKER,3209,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930869120,,,,,Mikrobølgen 25,OSLO,1150,OSLO,0301,Norge,NO,2016-11-19,2016-11-04,2023-02-23,,Subunit of businesses and public administration
818722192,ESPIRA TRISTILBAKKEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,40,,Postboks 353,KOPERVIK,4291,KARMØY,1149,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930548588,,,,,Nautåsvegen 15,FJERDINGBY,2008,RÆLINGEN,3224,Norge,NO,2017-03-20,2017-03-01,2023-03-01,,Subunit of businesses and public administration
819294542,LÆRINGSVERKSTEDET ØVRE NESKOLLEN NATURBARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,31,www.laringsverkstedet.no/barnehage/neskollen,Postboks 215,JESSHEIM,2051,ULLENSAKER,3209,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930876267,,,,,Sekstanten 25,HVAM,2165,NES,3228,Norge,NO,2017-07-13,2017-07-01,2023-02-23,,Subunit of businesses and public administration
819390002,VOLDSKOGEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,43,,Postboks 175,MOSS,1501,MOSS,3103,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,920817521,,,,,Holteveien 19,RYGGE,1580,MOSS,3103,Norge,NO,2017-08-09,2017-08-15,2020-01-01,,Subunit of businesses and public administration
819510822,FURUBERGET FUS AKTIVITETSBARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,54,fus.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,927863049,,,,,Kapellveien 2,HARSTAD,9409,HARSTAD,5503,Norge,NO,2017-09-04,2017-09-01,2021-09-20,,Subunit of businesses and public administration
