organization number,name,organization form code,organization form description,industry code 1,industry code 1 description,industry code 2,industry code 2 description,industry code 3,industry code 3 description,auxiliary unit code,auxiliary unit code description,has registered number of employees,number of employees,website,postal address,postal town,postal code,postal municipality,postal municipality number,postal country,postal country code,business address,business post town,business postal code,business municipality,business municipality number,business country,business country code,institutional sector code,institutional sector code description,last submitted annual accounts,registration date in unit register,foundation date,registered in VAT register,voluntary VAT registered descriptions,registered in volunteer register,registration date of the Unit Register,registered in foundation register,bankrupt,bankruptcy date,under liquidation,under liquidation date,under compulsory liquidation or dissolution,compulsory dissolution due to lack of general manager date,compulsory dissolution due to lack of auditor date,compulsory dissolution due to lack of accounts date,compulsory dissolution due to insufficient board date,compulsory liquidation due to lack of deletion date,parent unit,language form,articles of association date,statutory purpose,activity,location address,location post town,location postal code,location municipality,location municipality number,location country,location country code,registreringsdatoIEnhetsregisteret,start date,ownership change date,closure date,organization form description (EN)
972211095,EINAREN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,27,www.einaren.barnehage.skien.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,951933813,,,,,Vestre Einaren 5,SKIEN,3744,SKIEN,4003,Norge,NO,1995-02-22,1990-04-01,,,Subunit of businesses and public administration
972213969,BIRKEN BARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,15,birken.barnehage.no/,Krogstadåsen 3,RÅDE,1643,RÅDE,3112,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,916982364,,,,,Birkeveien 25D,BERGEN,5093,BERGEN,4601,Norge,NO,1995-02-23,1990-08-01,2016-01-01,,Subunit of businesses and public administration
972214361,RUSVIK NATURBARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,25,www.rusviknaturbarnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,950782641,,,,,Rusvikvegen 3D,KOPERVIK,4250,KARMØY,1149,Norge,NO,1995-02-23,1990-08-01,,,Subunit of businesses and public administration
972214558,FJELLSTEMMEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,56,fjellstemmen.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,956709083,,,,,Eivind Nielsens gate 25,HAUGESUND,5532,HAUGESUND,1106,Norge,NO,1995-02-23,1990-09-01,,,Subunit of businesses and public administration
972215120,NORLANDIA KJELDMYRLIA NATURBARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,16,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930207160,,,,,Kongleveien 1,BODØ,8027,BODØ,1804,Norge,NO,1995-02-23,1990-10-01,2023-01-01,,Subunit of businesses and public administration
972215473,PUSKHOLA BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,20,www.puskhola.barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,959666563,,,,,Ramsvika 1,ÅLESUND,6012,ÅLESUND,1508,Norge,NO,1995-02-23,1990-08-01,,,Subunit of businesses and public administration
972215481,TOPPEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,26,toppenbhg.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,961413907,,,,,Lensmann Haaversens vei 205,SKEDSMOKORSET,2019,LILLESTRØM,3205,Norge,NO,1995-02-22,1990-07-30,,,Subunit of businesses and public administration
972215910,KARUSELLEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,5,karusellen.barnehage.no/,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,959718849,,,,,Ulriksdal 39,BERGEN,5009,BERGEN,4601,Norge,NO,1995-02-23,1990-10-01,,,Subunit of businesses and public administration
972217832,DUSAVIK BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,28,dusavik.barnehage.no/,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,980874680,,,,,Gjerdeveien 144,STAVANGER,4028,STAVANGER,1103,Norge,NO,1995-02-23,1990-01-01,1999-08-15,,Subunit of businesses and public administration
972217964,TYVEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,27,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,974790017,,,,,Turistveien 6,HAMMERFEST,9603,HAMMERFEST,5603,Norge,NO,1995-02-23,1990-01-01,2020-01-01,,Subunit of businesses and public administration
972218243,LÆRINGSVERKSTEDET BLINDHEIM NATURBARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,23,laringsverkstedet.no/barnehage/blindheim,Postboks 215,JESSHEIM,2051,ULLENSAKER,3209,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930861227,,,,,Ospedalssvingen 48,ÅLESUND,6012,ÅLESUND,1508,Norge,NO,1995-02-23,1990-01-01,2023-02-23,,Subunit of businesses and public administration
972218480,FORSKNINGSPARKEN MONTESSORI AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,15,forskningsparken.barnehage.no,Gaustadalléen 21,OSLO,0349,OSLO,0301,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,959457972,,,,,Gaustadalléen 5,OSLO,0373,OSLO,0301,Norge,NO,1995-02-22,1990-08-01,,,Subunit of businesses and public administration
972228257,GRIMÅSSKOGEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,23,www.grimaaskogen.barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,957609422,,,,,Bureiservegen 11,RAUFOSS,2835,VESTRE TOTEN,3443,Norge,NO,1995-02-22,1990-08-01,,,Subunit of businesses and public administration
972228273,LÆRINGSVERKSTEDET SÆTRA IDRETTSBARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,56,,Postboks 215,JESSHEIM,2051,ULLENSAKER,3209,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,997113527,,,,,Østre Berg 15,TRONDHEIM,7050,TRONDHEIM,5001,Norge,NO,1995-02-23,1990-11-01,2011-07-01,,Subunit of businesses and public administration
972228311,LIA BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,43,www.liabarnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,957056377,,,,,Bæreiavegen 116,KONGSVINGER,2208,KONGSVINGER,3401,Norge,NO,1995-02-22,1991-01-01,,,Subunit of businesses and public administration
972235970,TURI SLETNERS BARNEHAVE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,15,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,988298611,,,,,Lillevannsveien 82,OSLO,0788,OSLO,0301,Norge,NO,1995-02-22,1990-01-01,2005-05-03,,Subunit of businesses and public administration
972235989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972235997,KIRKEMOEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,15,www.kirkemoenbarnehage.no/,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,957127223,,,,,Sagveien 19,SOKNA,3534,RINGERIKE,3305,Norge,NO,1995-02-22,1990-01-01,,,Subunit of businesses and public administration
972239682,SKYTTERLØKKA BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,19,www.skytterlokkabarnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,957560555,,,,,Christies vei 25,KONGSBERG,3613,KONGSBERG,3303,Norge,NO,1995-02-22,1991-01-01,,,Subunit of businesses and public administration
972239747,PRESTEBAKKEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,32,www.prestebakken.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,958023863,,,,,Kyrkjevegen 30D,FØRDE,6809,SUNNFJORD,4647,Norge,NO,1995-02-23,1991-01-01,,,Subunit of businesses and public administration
972239968,LYSBUEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,25,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,974636255,,,,,Langkåsveien 16,NOTODDEN,3675,NOTODDEN,4005,Norge,NO,1995-02-22,1991-01-01,2000-01-01,,Subunit of businesses and public administration
972240087,HUSKESTUA BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,15,huskestua.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,958798954,,,,,Rådyrvegen 4,HUNNDALEN,2827,GJØVIK,3407,Norge,NO,1995-02-22,1991-01-01,,,Subunit of businesses and public administration
972240478,SALHUS BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,30,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,964983291,,,,,Jektskipperveien 8A,BRØNNØYSUND,8907,BRØNNØY,1813,Norge,NO,1995-02-23,1991-01-01,2007-01-01,,Subunit of businesses and public administration
972240486,SOLTUN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,19,soltun.barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,959533547,,,,,Sommerslettveien 5,BRØNNØYSUND,8907,BRØNNØY,1813,Norge,NO,1995-02-23,1991-01-01,,,Subunit of businesses and public administration
972240540,NAMSOS BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,37,namsos-barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,958698194,,,,,Holmenvegen 6,SPILLUM,7820,NAMSOS,5007,Norge,NO,1995-02-23,1991-01-01,,,Subunit of businesses and public administration
972240605,NORLANDIA STORDALEN FRILUFTSBARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,15,,Ekholtveien 114,MOSS,1526,MOSS,3103,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930202088,,,,,Årlokkveien 12,BODØ,8011,BODØ,1804,Norge,NO,1995-02-23,1991-01-01,2023-01-01,,Subunit of businesses and public administration
972240702,DRØBAK MONTESSORI BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,15,,Osloveien 27,DRØBAK,1440,FROGN,3214,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,985039860,,,,,Gulliksbakken 2,DRØBAK,1440,FROGN,3214,Norge,NO,1995-02-22,1991-01-01,2003-01-01,,Subunit of businesses and public administration
972240761,JAKLAMYRA BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,17,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,958027028,,,,,Ørnveien 34,NARVIK,8516,NARVIK,1806,Norge,NO,1995-02-23,1991-01-01,,,Subunit of businesses and public administration
972241415,VINNES BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,13,vinnesbarnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,957640672,,,,,Lillevinnes 14,SOLBERGELVA,3057,DRAMMEN,3301,Norge,NO,1995-02-22,1991-01-01,,,Subunit of businesses and public administration
972241431,BARNEHAGEN SMÅTROLL AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,34,barnehagensmatroll.barnehage.no/Hjem,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,920567770,,,,,Sagbakken 15,MO I RANA,8626,RANA,1833,Norge,NO,1995-02-23,1991-11-01,2018-01-01,,Subunit of businesses and public administration
972242225,LÆRINGSVERKSTEDET ARONIEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,25,laringsverkstedet.no/laringsverkstedet-aronien-barnehage,Postboks 215,JESSHEIM,2051,ULLENSAKER,3209,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930874299,,,,,Vardevegen 14,STRAUME,5353,ØYGARDEN,4626,Norge,NO,1995-02-23,1991-11-25,2023-02-23,,Subunit of businesses and public administration
972243051,DALSBRÅTEN BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,22,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,960782909,,,,,Carl Platous gate 5,HØNEFOSS,3511,RINGERIKE,3305,Norge,NO,1995-02-22,1991-01-01,,,Subunit of businesses and public administration
972252557,SØNDRE DAL GÅRD BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,24,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,960111931,,,,,Avlangruds vei 5,OSLO,1285,OSLO,0301,Norge,NO,1995-02-22,1991-07-01,,,Subunit of businesses and public administration
972280739,BOTNHAMN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,15,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,921369417,,,,,Botnhamnveien 592,BOTNHAMN,9373,SENJA,5530,Norge,NO,1995-02-23,1991-01-01,2020-01-01,,Subunit of businesses and public administration
972280747,FURUMOEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,45,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,921369417,,,,,Harald Silsands vei 30,SILSAND,9303,SENJA,5530,Norge,NO,1995-02-23,1989-12-12,2020-01-01,,Subunit of businesses and public administration
972280801,DALSLETTA BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,24,dalsletta.barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,958973594,,,,,Dalsletta 2,HARSTAD,9407,HARSTAD,5503,Norge,NO,1995-02-23,1989-02-10,,,Subunit of businesses and public administration
972285501,ROSENLUND BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,44,rosenlundbarnehage.no/,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,960213912,,,,,Gauselveien 9,SKI,1406,NORDRE FOLLO,3207,Norge,NO,1995-02-22,1991-10-01,,,Subunit of businesses and public administration
972285552,VESLEFRIKK BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,25,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,958425856,,,,,Tyrihaugen 3,FREI,6522,KRISTIANSUND,1505,Norge,NO,1995-02-23,1991-10-01,,,Subunit of businesses and public administration
972285579,RO BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,34,www.ro.barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,957278205,,,,,Olav Audunssons veg 1,LILLEHAMMER,2624,LILLEHAMMER,3405,Norge,NO,1995-02-22,1991-10-01,,,Subunit of businesses and public administration
972285617,MÆHLUMSLYKKJA BARNEHAGE BA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,14,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,961633168,,,,,Mælumslykkja 22,BRØTTUM,2372,RINGSAKER,3411,Norge,NO,1995-02-22,1991-10-01,,,Subunit of businesses and public administration
972285676,KAPITELBERGET NATUR - OG KULTURBARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,11,www.kapitelberget.barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,961346126,,,,,Mikkel Blikks gate 9,SKIEN,3714,SKIEN,4003,Norge,NO,1995-02-22,1991-10-01,,,Subunit of businesses and public administration
972285706,LYNGHEIA BARNEHAGE AS AVD LYNGVEIEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,17,lyngheia-barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,960896998,,,,,Lyngveien 4,FAUSKE,8209,FAUSKE,1841,Norge,NO,1995-02-23,1991-10-01,,,Subunit of businesses and public administration
972286397,BLÅVEISEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,32,www.blaaveisen.com,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,961734177,,,,,Oline Holtmons veg 96,HAMAR,2316,HAMAR,3403,Norge,NO,1995-02-22,1991-07-01,,,Subunit of businesses and public administration
972286419,RØNHOLT BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,15,,Postboks 80,LANGESUND,3993,BAMBLE,4012,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,974636271,,,,,Rønholtveien 71,STATHELLE,3967,BAMBLE,4012,Norge,NO,1995-02-22,1991-07-01,2009-08-01,,Subunit of businesses and public administration
972286427,BJØRKEBO BARNEHAGE AL,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,38,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,957307655,,,,,Bekkevegen 54,BRUMUNDDAL,2383,RINGSAKER,3411,Norge,NO,1995-02-22,1991-07-01,,,Subunit of businesses and public administration
972286478,HANS OG GRETE BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,38,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,861045412,,,,,Foren 51,SANDNES,4318,SANDNES,1108,Norge,NO,1995-02-23,1991-07-01,,,Subunit of businesses and public administration
972286524,RISHAUGEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,34,www.rishaugenbarnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,957273513,,,,,Altagårdsveien 55,ALTA,9515,ALTA,5601,Norge,NO,1995-02-23,1991-04-01,,,Subunit of businesses and public administration
972286559,SPIRE & GRO LIANE BARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,28,www.spireoggro.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,926178164,,,,,Øvre Sølen 2,PORSGRUNN,3914,PORSGRUNN,4001,Norge,NO,1995-02-22,1991-04-01,2021-01-01,,Subunit of businesses and public administration
972286567,UTSKARPEN BARNEHAGE OG MENIGHETSHUS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,25,www.rana.kommune.no/barn_familie_skole/barnehage/private_barnehager/Sider/Utskarpen-barnehage.aspx,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,957885179,,,,,Glansberget 2,UTSKARPEN,8725,RANA,1833,Norge,NO,1995-02-23,1991-04-01,,,Subunit of businesses and public administration
972290637,MARIHØNA BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,26,www.marihoena.barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,960923472,,,,,Engehaugen 15,GJØVIK,2818,GJØVIK,3407,Norge,NO,1995-02-22,1990-12-12,,,Subunit of businesses and public administration
972290807,BRATTVÅG BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,39,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,957278582,,,,,Fjellbu 2,BRATTVÅG,6270,HARAM,1580,Norge,NO,1995-02-23,1989-05-18,,,Subunit of businesses and public administration
972290912,SNEHVIT BARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,28,www.snehvit-barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,960007425,,,,,Altaveien 214,ALTA,9515,ALTA,5601,Norge,NO,1995-02-23,1990-11-26,,,Subunit of businesses and public administration
972290920,ÅKEBAKKE BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,17,akebakke.barnehage.no/,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,965324410,,,,,Utveien 2,ÅS,1433,ÅS,3218,Norge,NO,1995-02-22,1991-09-02,,,Subunit of businesses and public administration
972290963,SOLDAGEN BARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,32,www.soldagen.barnehage.no,Postboks 3297 Stakkevollan,TROMSØ,9275,TROMSØ,5501,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,960595548,,,,,Skattøra 151,TROMSØ,9018,TROMSØ,5501,Norge,NO,1995-02-23,1991-04-18,,,Subunit of businesses and public administration
972291145,HEDENSRUD BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,16,hedensrud.barnehage.no/,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,961183332,,,,,Gamle Kongevei 107,DRAMMEN,3040,DRAMMEN,3301,Norge,NO,1995-02-22,1992-01-01,,,Subunit of businesses and public administration
972291188,STRYN BEDRIFTSBARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,24,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,962370357,,,,,Vikavegen 2,STRYN,6783,STRYN,4651,Norge,NO,1995-02-23,1991-08-30,,,Subunit of businesses and public administration
972291706,SKRANEVEGEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,16,www.bergen.kommune.no/omkommunen/avdelinger/skranevegen-barnehage,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,974773899,,,,,Skranevegen 8,SØREIDGREND,5252,BERGEN,4601,Norge,NO,1995-02-23,1992-04-29,2022-01-01,,Subunit of businesses and public administration
972301760,ANDUNGEN BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,46,www.andungen.com,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,964702586,,,,,Andøyveien 101,KRISTIANSAND S,4623,KRISTIANSAND,4204,Norge,NO,1995-02-23,1992-01-07,,,Subunit of businesses and public administration
972333123,SOMMERLY BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,27,www.sommerly.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,962320473,,,,,Ilebråtan 26,FETSUND,1900,LILLESTRØM,3205,Norge,NO,1995-02-22,1992-08-01,,,Subunit of businesses and public administration
972335002,SOLBAKKEN BARNAS HAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,9,,Sigurd Iversens vei 33,OSLO,0281,OSLO,0301,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930523909,,,,,Sigurd Iversens vei 37B,OSLO,0281,OSLO,0301,Norge,NO,1995-02-22,1992-01-01,2023-01-01,,Subunit of businesses and public administration
972339113,ABC BAKKEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,32,abc-bakken.barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,959960712,,,,,Abc-veien 2,KRISTIANSUND N,6518,KRISTIANSUND,1505,Norge,NO,1995-02-23,1992-01-01,,,Subunit of businesses and public administration
972339148,SIRLIHAUGEN BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,29,sirlihaugen.barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,963748426,,,,,Lisjebøvegen 39,FOSNAVÅG,6091,HERØY,1515,Norge,NO,1995-02-23,1991-06-17,,,Subunit of businesses and public administration
972339318,LÆRINGSVERKSTEDET VÅRRES BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,29,laringsverkstedet.no/barnehage/varres,Postboks 215,JESSHEIM,2051,ULLENSAKER,3209,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930876305,,,,,Statsråd Krohgs veg 9,TRONDHEIM,7021,TRONDHEIM,5001,Norge,NO,1995-02-23,1992-08-01,2023-02-23,,Subunit of businesses and public administration
972339563,VASSBAKKEN BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,14,www.vassbakken.barnehage.no,Postboks 16   Rensvik,FREI,6529,KRISTIANSUND,1505,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,860686872,,,,,Idrettsvegen 11,FREI,6521,KRISTIANSUND,1505,Norge,NO,1995-02-23,1990-09-15,,,Subunit of businesses and public administration
972339628,VÅGØNES BARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,18,vagones.barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,962144683,,,,,Forskerveien 3,BODØ,8076,BODØ,1804,Norge,NO,1995-02-23,1992-08-01,,,Subunit of businesses and public administration
972339679,GRØNNÅSEN BARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,19,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,961947766,,,,,Øvre Bjørkåsen 80,BODØ,8074,BODØ,1804,Norge,NO,1995-02-23,1992-08-01,,,Subunit of businesses and public administration
972339695,NORLANDIA BJØRNEBORGEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,36,,Ekholtveien 114,MOSS,1526,MOSS,3103,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930202770,,,,,Bjørndalslia 49,BODØ,8029,BODØ,1804,Norge,NO,1995-02-23,1992-08-01,2023-01-01,,Subunit of businesses and public administration
